,size,percentage,avg_gre,avg_toefl,avg_cgpa,avg_university_rating,avg_sop,avg_lor,research_rate,admit_chance
Cluster_0,175,43.8%,326.48,112.24571428571429,9.101142857142857,4.011428571428572,4.162857142857143,4.091428571428572,0.9142857142857143,0.8406285714285715
Cluster_1,225,56.2%,309.28444444444443,103.64888888888889,8.20831111111111,2.368888888888889,2.8066666666666666,2.9555555555555557,0.26222222222222225,0.6339111111111111
